Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1334	0.189	2.5e-002	0.	0.
1335	0.187	2.5e-002	0.	0.
1336	0.185	2.5e-002	0.	0.
1337	0.183	2.5e-002	0.	0.
1338	0.181	2.5e-002	0.	0.
1339	0.179	2.5e-002	0.	0.
1340	0.177	2.5e-002	0.	0.
1341	0.175	2.5e-002	0.	0.
1342	0.173	2.5e-002	0.	0.
1343	0.171	2.5e-002	0.	0.
1344	0.169	2.5e-002	0.	0.
1345	0.167	2.5e-002	0.	0.
1346	0.165	2.5e-002	0.	0.
1347	0.163	2.5e-002	0.	0.
1348	0.161	2.5e-002	0.	0.
1349	0.159	2.5e-002	0.	0.
1350	0.157	2.5e-002	0.	0.
1351	0.155	2.5e-002	0.	0.
1352	0.153	2.5e-002	0.	0.
1353	0.151	2.5e-002	0.	0.
1354	0.149	2.5e-002	0.	0.
1355	0.147	2.5e-002	0.	0.
1356	0.145	2.5e-002	0.	0.
1357	0.143	2.5e-002	0.	0.
1358	0.141	2.5e-002	0.	0.
1359	0.139	2.5e-002	0.	0.
1360	0.137	2.5e-002	0.	0.
1361	0.135	2.5e-002	0.	0.
1362	0.133	2.5e-002	0.	0.
1363	0.131	2.5e-002	0.	0.
1364	0.129	2.5e-002	0.	0.
1365	0.127	2.5e-002	0.	0.
1366	0.125	2.5e-002	0.	0.
1367	0.123	2.5e-002	0.	0.
1368	0.121	2.5e-002	0.	0.
1369	0.119	2.5e-002	0.	0.
1370	0.117	2.5e-002	0.	0.
1371	0.115	2.5e-002	0.	0.
1372	0.113	2.5e-002	0.	0.
1373	0.111	2.5e-002	0.	0.
1374	0.109	2.5e-002	0.	0.
1375	0.107	2.5e-002	0.	0.
1376	0.105	2.5e-002	0.	0.
1377	0.103	2.5e-002	0.	0.
1378	0.101	2.5e-002	0.	0.
1379	9.9e-002	2.5e-002	0.	0.
1380	9.7e-002	2.5e-002	0.	0.
1381	9.5e-002	2.5e-002	0.	0.
1382	9.3e-002	2.5e-002	0.	0.
1383	9.1e-002	2.5e-002	0.	0.
1384	8.9e-002	2.5e-002	0.	0.
1385	8.7e-002	2.5e-002	0.	0.
1386	8.5e-002	2.5e-002	0.	0.
1387	8.3e-002	2.5e-002	0.	0.
1388	8.1e-002	2.5e-002	0.	0.
1389	7.9e-002	2.5e-002	0.	0.
1390	7.7e-002	2.5e-002	0.	0.
1391	7.5e-002	2.5e-002	0.	0.
1392	7.3e-002	2.5e-002	0.	0.
1393	7.1e-002	2.5e-002	0.	0.
